D1,S,S,S,S,0.352,0.352
S,M1,S,S,M,0.129,0.129
S,S,S,M1,D,0.342,0.342
D1,S,D1,D1,M,0.255,0.51
S,M1,S,S,S,0.403,0.403
D1,S,M1,S,S,0.274,0.295
D1,M1,D1,M1,M,0.252,0.504
M2,M1,M1,S,S,0.156,0.274
S,D1,D1,D1,M,0.245,0.264
D1,M1,D1,S,S,0.278,0.435
M1,M1,S,S,M,0.142,0.142
S,D1,D1,S,M,0.208,0.325
S,D1,D1,S,M,0.262,0.369
D1,M1,S,M1,S,0.462,0.585
D1,M1,D1,M1,S,0.122,0.142
S,S,D1,D1,S,0.352,0.618
S,M1,D1,D1,M,0.374,0.374
D1,S,D1,D1,M,0.268,0.47
D2,M1,D1,D1,M,0.49,0.49
M2,M1,D1,D1,M,0.155,0.155
D1,D1,D1,M1,S,0.15,0.156
D1,S,S,S,S,0.269,0.379
S,S,D1,M1,M,0.076,0.134
S,S,M1,M1,S,0.291,0.388
S,M1,D1,D1,M,0.204,0.248
D1,D1,S,M1,M,0.282,0.282
S,D2,D1,D2,M,0.56,0.56
D1,S,S,S,S,0.22,0.31
S,S,D1,S,S,0.198,0.397
M1,S,S,S,M,0.305,0.318
D1,M2,D1,S,M,0.265,0.39
S,D1,D1,S,M,0.132,0.132
M1,S,D1,S,M,0.341,0.341
S,M1,S,S,S,0.174,0.187
S,S,M1,S,M,0.233,0.343
M1,M1,S,D1,S,0.234,0.366
S,M1,S,D1,M,0.401,0.401
S,M1,D1,M1,S,0.319,0.449
S,M1,M1,M1,M,0.307,0.307
D1,M1,S,S,M,0.288,0.3
S,M1,M2,S,M,0.187,0.263
S,M1,D1,M1,S,0.352,0.409
S,M1,D1,M1,S,0.171,0.3
M1,M1,S,S,M,0.247,0.348
D1,S,S,S,S,0.261,0.281
D1,M1,S,M2,M,0.479,0.749
S,M2,S,D1,M,0.229,0.238
M1,M1,D1,M1,M,0.073,0.115
S,M1,S,D1,M,0.215,0.335
S,S,S,M1,S,0.216,0.304
S,M1,S,S,M,0.248,0.279
D1,S,M1,S,S,0.173,0.244
M1,S,D1,S,S,0.182,0.284
S,M1,M1,D1,M,0.136,0.212
S,M1,S,S,S,0.155,0.197
M1,S,S,D1,M,0.263,0.263
D1,S,M1,S,S,0.217,0.319
M1,S,D1,M1,S,0.121,0.189
S,S,M1,D1,M,0.11,0.155
S,S,S,D1,M,0.269,0.269
S,M1,D2,S,S,0.22,0.237
D1,S,M1,D1,M,0.257,0.257
S,M1,D1,S,D,0.15,0.262
D1,S,S,S,M,0.114,0.16
M1,M1,M1,S,S,0.413,0.413
D1,S,M1,S,S,0.298,0.523
S,D1,M1,M1,M,0.14,0.219
M1,M1,S,S,M,0.122,0.213
D1,S,M1,S,S,0.401,0.508
S,M1,M2,M1,M,0.122,0.213
